student_id,subject,flag_status,attainment_band
SYN0000,biology,none,below
SYN0000,chemistry,none,below
SYN0001,biology,none,above
SYN0001,computer_science,none,above
SYN0002,biology,none,above
SYN0002,chemistry,none,above
SYN0003,computer_science,none,in_line
SYN0004,biology,none,above
SYN0004,chemistry,none,above
SYN0004,computer_science,none,above
SYN0005,biology,none,above
SYN0005,computer_science,none,above
SYN0006,chemistry,confirmed,below
SYN0006,computer_science,confirmed,below
SYN0007,biology,none,below
SYN0007,chemistry,none,below
SYN0008,biology,provisional,in_line
SYN0008,chemistry,provisional,in_line
SYN0008,computer_science,provisional,in_line
SYN0009,biology,provisional,in_line
SYN0009,chemistry,none,in_line
SYN0009,computer_science,none,in_line
SYN0010,biology,confirmed,well_below
SYN0010,chemistry,confirmed,well_below
SYN0011,biology,confirmed,in_line
SYN0011,chemistry,confirmed,in_line
SYN0011,computer_science,confirmed,in_line
SYN0012,biology,confirmed,well_below
SYN0012,chemistry,confirmed,well_below
SYN0012,computer_science,confirmed,well_below
SYN0013,biology,none,below
SYN0014,chemistry,none,well_below
SYN0015,chemistry,none,above
SYN0016,computer_science,none,above
SYN0017,biology,provisional,in_line
SYN0017,chemistry,provisional,in_line
SYN0018,chemistry,none,above
SYN0019,biology,none,in_line
SYN0019,chemistry,none,in_line
SYN0019,computer_science,none,in_line
SYN0020,biology,none,well_below
SYN0020,chemistry,none,well_below
SYN0020,computer_science,none,well_below
SYN0021,biology,none,well_below
SYN0022,biology,none,well_below
SYN0022,chemistry,none,well_below
SYN0022,computer_science,none,well_below
SYN0023,biology,confirmed,in_line
SYN0023,chemistry,confirmed,in_line
SYN0023,computer_science,confirmed,in_line
SYN0024,biology,provisional,below
SYN0024,chemistry,none,below
SYN0024,computer_science,provisional,below
SYN0025,biology,none,in_line
SYN0025,computer_science,confirmed,in_line
SYN0026,chemistry,none,below
SYN0026,computer_science,none,below
SYN0027,computer_science,none,above
SYN0028,chemistry,none,above
SYN0029,biology,none,in_line
SYN0029,computer_science,none,in_line
SYN0030,biology,none,below
SYN0031,biology,confirmed,in_line
SYN0031,chemistry,confirmed,in_line
SYN0031,computer_science,confirmed,in_line
SYN0032,biology,confirmed,below
SYN0033,computer_science,provisional,above
SYN0034,biology,none,above
SYN0034,computer_science,none,above
SYN0035,biology,none,in_line
SYN0036,biology,none,well_below
SYN0036,chemistry,none,well_below
SYN0036,computer_science,none,well_below
SYN0037,computer_science,none,in_line
SYN0038,biology,none,above
SYN0038,chemistry,none,above
SYN0038,computer_science,none,above
SYN0039,biology,none,above
SYN0039,chemistry,none,above
SYN0039,computer_science,none,above
SYN0040,biology,none,below
SYN0041,biology,none,well_below
SYN0041,chemistry,none,well_below
SYN0041,computer_science,none,well_below
SYN0042,biology,none,well_below
SYN0043,biology,confirmed,well_below
SYN0044,computer_science,none,above
SYN0045,chemistry,none,above
SYN0045,computer_science,none,above
SYN0046,biology,none,below
SYN0047,chemistry,none,well_below
SYN0048,biology,none,above
SYN0048,chemistry,none,above
SYN0048,computer_science,none,above
SYN0049,biology,provisional,in_line
SYN0049,chemistry,provisional,in_line
SYN0049,computer_science,provisional,in_line
SYN0050,biology,none,below
SYN0050,chemistry,none,below
SYN0051,biology,none,above
SYN0051,computer_science,none,above
SYN0052,biology,none,in_line
SYN0052,chemistry,none,in_line
SYN0052,computer_science,none,in_line
SYN0053,chemistry,provisional,well_below
SYN0053,computer_science,none,well_below
SYN0054,chemistry,provisional,well_below
SYN0054,computer_science,provisional,well_below
SYN0055,biology,none,above
SYN0055,chemistry,none,above
SYN0055,computer_science,none,above
SYN0056,chemistry,none,in_line
SYN0057,chemistry,none,above
SYN0057,computer_science,none,above
SYN0058,chemistry,none,in_line
SYN0058,computer_science,none,in_line
SYN0059,biology,none,above
SYN0059,chemistry,none,above
SYN0059,computer_science,none,above
